REQUESTED_FRE_ID;PHOTONIC_SERVICE_ID;FREQUENCY;WIDTH;WAVELENGTH;CHANNEL
-3079449438060424150;6963215757405218308;194.900000;37.5;1538.19;CH-21
-3079449438060424150;;;;;
-3079449438060424150;-7231239132366988608;195.150000;37.5;1536.22;CH-16
-3079449438060424150;6441428408112488886;193.300000;37.5;1550.92;CH-53
-3079449438060424150;;;;;
-3079449438060424150;5023027271737781951;195.350000;37.5;1534.64;CH-12
-3203182031983785910;-1232691661817735384-snc::controlPlane;193.593750;101.800;;
-3203182031983785910;1945883126081136411-snc::controlPlane;193.450000;37.500;1549.72;CH-50
-3203182031983785910;48802971-26aa-495b-a79c-2775b19ed966;193.850000;59.000;1546.52;CH-42
-3203182031983785910;;;;;
-3203182031983785910;-2143627240095128943;193.950000;37.5;1545.72;CH-40
-3203182031983785910;2357391087606271070-snc::controlPlane;195.500000;37.500;1533.47;CH-9
-3203182031983785910;7738165842458616210;195.100000;37.500;1536.61;CH-17
-3203182031983785910;7066683593500479013-snc::controlPlane;193.687500;59.000;;
-3203182031983785910;;;;;
-3203182031983785910;-1583198688723329643-snc::controlPlane;195.850000;59.000;1530.72;CH-2
-3203182031983785910;;;;;
-3203182031983785910;;;;;
-3203182031983785910;;;;;
-3203182031983785910;-6177313966217463375-snc::controlPlane;195.750000;59.000;1531.51;CH-4
-3203182031983785910;-2498055476221817892;193.400000;37.5;1550.12;CH-51
-3203182031983785910;;;;;
-3203182031983785910;35985398-49e7-46e1-8e25-c9306ff4d6ca;194.650000;59.000;1540.16;CH-26
-3203182031983785910;-5273544505050637382-snc::controlPlane;192.800000;37.500;1554.94;CH-63
-3203182031983785910;;;;;
-3203182031983785910;-6335071299142812468;195.400000;37.5;1534.25;CH-11
-3203182031983785910;8665704836517329515-snc::controlPlane;194.750000;59.000;1539.37;CH-24
-3203182031983785910;;;;;
-3203182031983785910;;;;;
-3203182031983785910;6441428408112488886;193.300000;37.5;1550.92;CH-53
-3203182031983785910;4605396676815691798-snc::controlPlane;191.950000;37.500;1561.83;CH-80
-3203182031983785910;;;;;
-3203182031983785910;-9194228447592094126-snc::controlPlane;194.900000;101.800;1538.19;CH-21
-3203182031983785910;-415940517515033670;195.200000;37.5;1535.82;CH-15
-3203182031983785910;;;;;
-3203182031983785910;2886311064373298057;195.300000;37.5;1535.04;CH-13
-3203182031983785910;;;;;
-3203182031983785910;5023027271737781951;195.350000;37.5;1534.64;CH-12
-3203182031983785910;;;;;
-3203182031983785910;1408628611394293437;193.500000;37.500;1549.32;CH-49
-3203182031983785910;-5553911168005987806;195.600000;37.5;1532.68;CH-7
-3203182031983785910;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-3203182031983785910;2897101242515364939;193.100000;37.5;1552.52;CH-57
-3203182031983785910;-7231239132366988608;195.150000;37.5;1536.22;CH-16
-3203182031983785910;-7680953685521415245-snc::controlPlane;194.100000;37.500;1544.53;CH-37
-3203182031983785910;-24976536852483643;194.000000;37.5;1545.32;CH-39
-3203182031983785910;;;;;
-3203182031983785910;-8031390427876265705-snc::controlPlane;193.200000;59.000;1551.72;CH-55
-3916509222898212252;2886311064373298057;195.300000;37.5;1535.04;CH-13
-3916509222898212252;;;;;
-3916509222898212252;-527891260212077744-snc::controlPlane;196.087500;37.500;;
-3916509222898212252;4605396676815691798-snc::controlPlane;191.950000;37.500;1561.83;CH-80
-3916509222898212252;-415940517515033670;195.200000;37.5;1535.82;CH-15
-3916509222898212252;;;;;
-3916509222898212252;-8832444057281726131-snc::controlPlane;195.550000;59.000;1533.07;CH-8
-3916509222898212252;;;;;
-3916509222898212252;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-3916509222898212252;6905522341586685944-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-3916509222898212252;1408628611394293437;193.500000;37.500;1549.32;CH-49
-3916509222898212252;-6335071299142812468;195.400000;37.5;1534.25;CH-11
-3916509222898212252;9038606849305190295-snc::controlPlane;193.200000;37.500;1551.72;CH-55
-3916509222898212252;6963215757405218308;194.900000;37.5;1538.19;CH-21
-3916509222898212252;;;;;
-3916509222898212252;-7231239132366988608;195.150000;37.5;1536.22;CH-16
-3916509222898212252;6441428408112488886;193.300000;37.5;1550.92;CH-53
-3916509222898212252;;;;;
-3916509222898212252;5023027271737781951;195.350000;37.5;1534.64;CH-12
-3983729766460648628;-6177313966217463375-snc::controlPlane;195.750000;59.000;1531.51;CH-4
-3983729766460648628;7738165842458616210;195.100000;37.500;1536.61;CH-17
-3983729766460648628;7066683593500479013-snc::controlPlane;193.687500;59.000;;
-3983729766460648628;-1583198688723329643-snc::controlPlane;195.850000;59.000;1530.72;CH-2
-3983729766460648628;;;;;
-3983729766460648628;;;;;
-3983729766460648628;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-3983729766460648628;-6607602561722026802;191.850000;37.5;1562.64;CH-82
-3983729766460648628;-5553911168005987806;195.600000;37.5;1532.68;CH-7
-3983729766460648628;;;;;
-3983729766460648628;-7680953685521415245-snc::controlPlane;194.100000;37.500;1544.53;CH-37
-3983729766460648628;-9194228447592094126-snc::controlPlane;194.900000;101.800;1538.19;CH-21
-3983729766460648628;8430750115560356983;192.600000;37.5;1556.55;CH-67
-3983729766460648628;-1891800805037145160;192.400000;37.5;1558.17;CH-71
-3983729766460648628;48802971-26aa-495b-a79c-2775b19ed966;193.850000;59.000;1546.52;CH-42
-3983729766460648628;-5273544505050637382-snc::controlPlane;192.800000;37.500;1554.94;CH-63
-3983729766460648628;-1232691661817735384-snc::controlPlane;193.593750;101.800;;
-3983729766460648628;-6650091296304788450;195.450000;37.5;1533.86;CH-10
-3983729766460648628;;;;;
-3983729766460648628;;;;;
-3983729766460648628;-1203265126698648803;193.000000;37.5;1553.33;CH-59
-3983729766460648628;;;;;
-3983729766460648628;-8031390427876265705-snc::controlPlane;193.200000;59.000;1551.72;CH-55
-3983729766460648628;6473694106598191665;195.200000;37.5;1535.82;CH-15
-3983729766460648628;;;;;
-3983729766460648628;-6335071299142812468;195.400000;37.5;1534.25;CH-11
-3983729766460648628;;;;;
-3983729766460648628;-24976536852483643;194.000000;37.5;1545.32;CH-39
-3983729766460648628;7312867149988299757;192.900000;37.5;1554.13;CH-61
-3983729766460648628;;;;;
-3983729766460648628;2897101242515364939;193.100000;37.5;1552.52;CH-57
-3983729766460648628;5922782591996576539;195.150000;37.5;1536.22;CH-16
-3983729766460648628;-7595070250042290280;192.450000;37.5;1557.77;CH-70
-4078555090305142512;;;;;
-4078555090305142512;9038606849305190295-snc::controlPlane;193.200000;37.500;1551.72;CH-55
-4078555090305142512;;;;;
-4078555090305142512;;;;;
-4078555090305142512;-1496200477267385155-snc::controlPlane;193.050000;37.500;1552.93;CH-58
-4078555090305142512;1274665245887875576-snc::controlPlane;193.593750;101.800;;
-4078555090305142512;7596adfb-2c2d-44f4-99c8-54bb7bc70d59;192.626750;59.000;;
-4078555090305142512;-8278691667047011733;192.150000;37.5;1560.2;CH-76
-4078555090305142512;;;;;
-4078555090305142512;8653487485847249511-snc::controlPlane;195.450000;101.800;1533.86;CH-10
-4078555090305142512;608fdfc3-292f-4018-ba80-1bdb28614b03;193.100000;37.500;1552.52;CH-57
-4078555090305142512;;;;;
-4078555090305142512;;;;;
-4078555090305142512;;;;;
-4078555090305142512;;;;;
-4078555090305142512;-6497812163912797095;195.650000;37.5;1532.29;CH-6
-4078555090305142512;4186971005375542153-snc::controlPlane;193.287500;59.000;;
-4078555090305142512;-3991813839751002233-snc::controlPlane;193.687500;59.000;;
-4078555090305142512;8573154399888475873;192.300000;37.5;1558.98;CH-73
-4078555090305142512;4291502258179227684-snc::controlPlane;192.700000;37.500;1555.75;CH-65
-4078555090305142512;3622846316542596247;192.900000;37.5;1554.13;CH-61
-4078555090305142512;;;;;
-4078555090305142512;;;;;
-4078555090305142512;-8274578891968037454-snc::controlPlane;192.837500;59.000;;
-4078555090305142512;-6314292512769972130;195.000000;37.5;1537.4;CH-19
-4078555090305142512;;;;;
-4078555090305142512;-3311238741981836118;194.050000;37.5;1544.92;CH-38
-4078555090305142512;-2554100548382252332-snc::controlPlane;191.556250;101.800;;
-4078555090305142512;-5553911168005987806;195.600000;37.5;1532.68;CH-7
-4078555090305142512;;;;;
-4078555090305142512;2029ad18-f5d4-4ab8-a45b-0600931d0618;191.950000;59.000;1561.83;CH-80
-4078555090305142512;-2025802764661873994;191.750000;37.5;1563.45;CH-84
-4078555090305142512;;;;;
-4078555090305142512;bef5fb6d-d4aa-4991-9677-4b9fc7621d40;195.100000;37.500;1536.61;CH-17
-4203640467414382450;419757951841298881-snc::controlPlane;194.550000;101.800;1540.95;CH-28
-4203640467414382450;-8318624620631280924-snc::controlPlane;195.400000;59.000;1534.25;CH-11
-4203640467414382450;7394243575023806624;193.650000;37.5;1548.11;CH-46
-4203640467414382450;-8137643980727747504-snc::controlPlane;193.150000;37.500;1552.12;CH-56
-4203640467414382450;;;;;
-4203640467414382450;;;;;
-4203640467414382450;2208275095458123170;193.450000;37.5;1549.72;CH-50
-4203640467414382450;-5273544505050637382-snc::controlPlane;192.800000;37.500;1554.94;CH-63
-4203640467414382450;5080856236003877045;192.100000;37.500;1560.61;CH-77
-4203640467414382450;;;;;
-4203640467414382450;-8465115762198201155;194.000000;37.5;1545.32;CH-39
-4203640467414382450;-7424829234677332349-snc::controlPlane;192.450000;59.000;1557.77;CH-70
-4203640467414382450;2684853105157595934-snc::controlPlane;194.150000;101.800;1544.13;CH-36
